cntry,ccnthum,ccrdprs,wrclmch,gndr,agea,eisced,impricha,ipeqopta,ipmodsta,impfuna,impenva
DE,Mainly human,9,Extremely worried,Female,62,Lower tertiary,Not like me,Like me,Somewhat like me,A little like me,Like me
DE,Entirely human,A lot,Very worried,Female,82,Upper upper sec,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Like me
DE,Equal natural and human,7,Very worried,Male,62,Lower tertiary,Not like me,Like me,Like me,Like me,Like me
DE,Equal natural and human,5,Somewhat worried,Female,49,Upper upper sec,A little like me,Very much like me,Like me,Somewhat like me,Somewhat like me
DE,Mainly human,9,Very worried,Male,51,Other,A little like me,Like me,A little like me,Not like me,Like me
DE,Natural processes,A lot,Not very worried,Female,61,Upper upper sec,Not at all like me,Very much like me,Like me,Somewhat like me,Very much like me
DE,Entirely human,A lot,Extremely worried,Female,23,Advanced voc,Not like me,Very much like me,Somewhat like me,A little like me,Very much like me
DE,Equal natural and human,7,Very worried,Female,78,Upper upper sec,Not at all like me,Like me,Somewhat like me,Like me,Like me
DE,Mainly human,7,Very worried,Female,43,Lower tertiary,Not like me,Like me,Very much like me,Somewhat like me,Like me
DE,Equal natural and human,A lot,Extremely worried,Female,80,Upper upper sec,Not at all like me,Very much like me,Like me,Somewhat like me,Very much like me
DE,Mainly human,7,Somewhat worried,Female,62,Lower tertiary,Like me,Very much like me,Like me,Like me,Like me
DE,Mainly human,6,Somewhat worried,Male,32,Other,A little like me,Like me,Somewhat like me,A little like me,Like me
DE,Entirely human,8,Very worried,Female,26,Higher tertiary,Somewhat like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
DE,Equal natural and human,7,Somewhat worried,Female,49,Lower tertiary,Not like me,Very much like me,Very much like me,Very much like me,Like me
DE,Mainly human,9,Very worried,Female,63,Lower tertiary,Not at all like me,Very much like me,A little like me,Not like me,Very much like me
DE,Equal natural and human,9,Very worried,Female,79,Upper upper sec,Not like me,Like me,Not like me,Not like me,Like me
DE,Mainly human,7,Somewhat worried,Male,66,Higher tertiary,Not at all like me,Like me,Somewhat like me,Not at all like me,Like me
DE,Equal natural and human,8,Somewhat worried,Male,21,Refusal,Somewhat like me,NA,Somewhat like me,Like me,Like me
DE,Mainly human,4,Somewhat worried,Male,24,Advanced voc,Like me,Like me,Like me,Very much like me,Not like me
DE,I don't think climate change is happening,NA,NA,Male,53,Advanced voc,Somewhat like me,Like me,Not like me,Like me,Like me
DE,Mainly human,8,Very worried,Female,70,Upper upper sec,A little like me,A little like me,Like me,Somewhat like me,Like me
DE,Mainly human,2,Somewhat worried,Male,19,Lower secondary,NA,NA,NA,NA,NA
DE,Equal natural and human,6,Not very worried,Male,20,Lower upper sec,Not like me,Somewhat like me,A little like me,Like me,A little like me
DE,Equal natural and human,3,Somewhat worried,Female,48,Upper upper sec,Like me,Very much like me,Like me,Like me,Very much like me
DE,Mainly human,4,Extremely worried,Male,56,Lower tertiary,Not at all like me,Like me,Somewhat like me,Somewhat like me,Very much like me
DE,Mainly human,2,Somewhat worried,Male,60,Lower tertiary,Not at all like me,Very much like me,Like me,Like me,Like me
DE,Entirely human,9,Very worried,Female,26,Higher tertiary,Not like me,Very much like me,Very much like me,Somewhat like me,Very much like me
DE,Mainly human,4,Very worried,Male,59,Upper upper sec,A little like me,Like me,Somewhat like me,Like me,Somewhat like me
DE,Mainly human,9,Extremely worried,Male,44,Lower tertiary,Like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Equal natural and human,6,Somewhat worried,Male,61,Lower tertiary,Not like me,Like me,Like me,Somewhat like me,Like me
DE,Entirely human,7,Extremely worried,Male,27,Other,Not at all like me,Very much like me,Somewhat like me,Very much like me,Very much like me
DE,Mainly human,6,Very worried,Male,39,Other,A little like me,Like me,Like me,Somewhat like me,Somewhat like me
DE,Mainly human,6,Very worried,Male,34,Other,Like me,Like me,Like me,Not like me,Like me
DE,Equal natural and human,9,Somewhat worried,Female,55,Other,Somewhat like me,Like me,Like me,Like me,Very much like me
DE,Mainly human,8,Very worried,Male,54,Higher tertiary,A little like me,Very much like me,Somewhat like me,Like me,Like me
DE,Mainly human,5,Very worried,Male,82,Upper upper sec,Somewhat like me,Like me,Not like me,Somewhat like me,Very much like me
DE,Equal natural and human,6,Somewhat worried,Female,26,Lower upper sec,Not like me,Very much like me,Like me,Somewhat like me,Not like me
DE,Mainly natural,1,Not worried,Female,44,Lower upper sec,Somewhat like me,Like me,Like me,A little like me,Somewhat like me
DE,Mainly human,9,Extremely worried,Female,61,Other,Not at all like me,Very much like me,Somewhat like me,Not at all like me,Very much like me
DE,Mainly human,7,Very worried,Female,65,Upper upper sec,Not like me,Like me,Somewhat like me,Like me,Very much like me
DE,Entirely human,8,Very worried,Male,43,Other,Not like me,Like me,Somewhat like me,Somewhat like me,Very much like me
DE,Equal natural and human,7,Very worried,Male,43,Lower tertiary,Not like me,Very much like me,Very much like me,Not like me,Very much like me
DE,Equal natural and human,6,Very worried,Female,79,Lower tertiary,Somewhat like me,Very much like me,Like me,Somewhat like me,Like me
DE,Mainly human,A lot,Extremely worried,Female,57,Lower tertiary,Not like me,Very much like me,Very much like me,Very much like me,Very much like me
DE,Mainly human,6,Somewhat worried,Female,66,Lower tertiary,Not at all like me,Not at all like me,Not like me,Somewhat like me,Like me
DE,Mainly human,6,Very worried,Male,16,Lower upper sec,Not like me,Very much like me,Like me,Like me,Somewhat like me
DE,Mainly human,8,Extremely worried,Female,31,Other,A little like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
DE,Mainly human,5,Somewhat worried,Female,32,Upper upper sec,Like me,Somewhat like me,Somewhat like me,Like me,Somewhat like me
DE,Mainly human,5,Very worried,Female,66,Upper upper sec,Not at all like me,Very much like me,Like me,Somewhat like me,Like me
DE,Equal natural and human,6,Not very worried,Female,44,Lower tertiary,Not like me,Like me,Very much like me,Somewhat like me,Like me
DE,Equal natural and human,5,Very worried,Male,73,Upper upper sec,A little like me,Somewhat like me,Like me,A little like me,Like me
DE,Equal natural and human,4,Somewhat worried,Male,40,Upper upper sec,Not like me,Very much like me,Somewhat like me,Very much like me,Like me
DE,Entirely human,7,Extremely worried,Female,60,Higher tertiary,Not at all like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
DE,Equal natural and human,5,Somewhat worried,Male,20,No answer,Not like me,Very much like me,Like me,NA,NA
DE,Mainly human,Not at all,Somewhat worried,Male,24,Upper upper sec,Not like me,Like me,Somewhat like me,Very much like me,Very much like me
DE,Equal natural and human,7,Very worried,Female,46,Lower tertiary,A little like me,Very much like me,Not like me,Very much like me,Somewhat like me
DE,Mainly human,A lot,Very worried,Male,51,Other,Somewhat like me,Like me,Like me,A little like me,Like me
DE,Equal natural and human,5,Not very worried,Male,44,Lower upper sec,Not at all like me,Somewhat like me,Very much like me,A little like me,Like me
DE,Entirely human,A lot,Extremely worried,Female,53,Other,Not at all like me,Very much like me,Somewhat like me,Not at all like me,Very much like me
DE,Equal natural and human,4,Very worried,Female,80,Upper upper sec,Not at all like me,Like me,Very much like me,A little like me,Like me
DE,Mainly human,9,Very worried,Female,38,Other,Somewhat like me,Like me,Somewhat like me,A little like me,Very much like me
DE,Equal natural and human,6,Somewhat worried,Male,51,Upper upper sec,A little like me,Like me,Not like me,Like me,Like me
DE,Equal natural and human,5,Somewhat worried,Female,41,Lower tertiary,Not like me,Like me,Not like me,Not like me,Somewhat like me
DE,Mainly human,7,Very worried,Female,69,Lower tertiary,Not like me,Very much like me,Somewhat like me,A little like me,Like me
DE,Equal natural and human,5,Somewhat worried,Male,57,Upper upper sec,Like me,Very much like me,Like me,Like me,Very much like me
DE,Mainly human,A lot,Somewhat worried,Female,63,Upper upper sec,Not at all like me,Very much like me,Like me,Not like me,Very much like me
DE,Entirely human,7,Very worried,Male,47,Upper upper sec,Not like me,Like me,Like me,Not like me,Very much like me
DE,Mainly human,7,Very worried,Male,62,Higher tertiary,Not like me,Very much like me,Somewhat like me,Somewhat like me,Like me
DE,Equal natural and human,7,Very worried,Male,21,Advanced voc,A little like me,Like me,Not like me,Like me,Like me
DE,Equal natural and human,8,Not very worried,Female,36,Upper upper sec,Not at all like me,Somewhat like me,Like me,Like me,Very much like me
DE,Equal natural and human,6,Somewhat worried,Male,20,Lower upper sec,Like me,Very much like me,Like me,Like me,Like me
DE,Mainly human,8,Very worried,Male,70,Other,Somewhat like me,Like me,A little like me,Somewhat like me,Very much like me
DE,Entirely human,6,Very worried,Female,44,Other,NA,NA,NA,NA,NA
DE,Entirely human,8,Somewhat worried,Male,35,Lower tertiary,A little like me,Somewhat like me,Like me,Somewhat like me,Very much like me
DE,Natural processes,Not at all,Not very worried,Male,49,Upper upper sec,Somewhat like me,Like me,Like me,A little like me,Not like me
DE,Mainly human,7,Very worried,Male,20,Advanced voc,Not like me,Very much like me,Somewhat like me,A little like me,Like me
DE,Equal natural and human,7,Very worried,Female,60,Upper upper sec,Not like me,Like me,A little like me,Not like me,Like me
DE,Equal natural and human,6,Not very worried,Male,38,Upper upper sec,Not like me,Not like me,Somewhat like me,Very much like me,Like me
DE,Equal natural and human,8,Somewhat worried,Male,83,Upper upper sec,Not like me,Like me,Very much like me,Like me,Very much like me
DE,Equal natural and human,8,Very worried,Male,53,Lower tertiary,Not like me,Somewhat like me,Somewhat like me,Like me,Somewhat like me
DE,Equal natural and human,Not at all,Somewhat worried,Male,34,Lower tertiary,A little like me,Like me,A little like me,Somewhat like me,A little like me
DE,Mainly human,9,Extremely worried,Female,27,Other,Not like me,Like me,Like me,Somewhat like me,Very much like me
DE,Equal natural and human,5,Somewhat worried,Female,16,Lower secondary,A little like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Equal natural and human,Not at all,Not worried,Female,38,Lower tertiary,Somewhat like me,Very much like me,Not like me,Very much like me,Very much like me
DE,Natural processes,Not at all,Not worried,Male,42,Upper upper sec,Somewhat like me,Very much like me,Like me,Not like me,Somewhat like me
DE,Equal natural and human,8,Somewhat worried,Male,30,Advanced voc,A little like me,Somewhat like me,Somewhat like me,Like me,Like me
DE,Equal natural and human,6,Very worried,Female,75,Upper upper sec,Not at all like me,Like me,Very much like me,Somewhat like me,Very much like me
DE,Mainly natural,5,Somewhat worried,Female,19,Lower secondary,Very much like me,Very much like me,Somewhat like me,Very much like me,Very much like me
DE,Mainly human,8,Very worried,Male,32,Other,Somewhat like me,Like me,Very much like me,Somewhat like me,Very much like me
DE,Mainly human,8,Extremely worried,Female,21,Advanced voc,A little like me,Like me,Not like me,Not at all like me,Very much like me
DE,Mainly human,6,Very worried,Male,37,Other,Somewhat like me,Like me,Like me,A little like me,A little like me
DE,Mainly natural,2,Not worried,Male,66,Upper upper sec,Not like me,Very much like me,A little like me,Very much like me,Very much like me
DE,Mainly human,7,Very worried,Male,61,Upper upper sec,A little like me,Like me,Very much like me,Very much like me,Very much like me
DE,Equal natural and human,7,Very worried,Female,82,Upper upper sec,Not at all like me,Very much like me,Like me,Somewhat like me,Like me
DE,Equal natural and human,7,Somewhat worried,Male,20,Lower upper sec,Somewhat like me,Like me,Like me,Somewhat like me,Like me
DE,Equal natural and human,6,Not worried,Male,72,Lower tertiary,Not like me,Like me,Very much like me,Very much like me,A little like me
DE,Equal natural and human,5,Somewhat worried,Male,41,Lower tertiary,Somewhat like me,Very much like me,Like me,Very much like me,Like me
DE,Mainly human,9,Very worried,Male,25,Other,Not like me,Somewhat like me,Like me,Somewhat like me,Somewhat like me
DE,Equal natural and human,5,Not very worried,Female,76,Upper upper sec,Not like me,Like me,Very much like me,Somewhat like me,Very much like me
DE,Mainly natural,2,Not very worried,Male,41,Higher tertiary,A little like me,Like me,Like me,Somewhat like me,Like me
DE,Equal natural and human,6,Very worried,Male,16,Lower upper sec,Very much like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Mainly human,2,Very worried,Male,54,Upper upper sec,Not like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me
DE,Equal natural and human,8,Somewhat worried,Female,57,Lower tertiary,Not like me,A little like me,Very much like me,Like me,Very much like me
DE,Equal natural and human,9,Very worried,Female,66,Lower tertiary,Not like me,Very much like me,Very much like me,Somewhat like me,Like me
DE,Mainly human,A lot,Very worried,Female,53,Lower tertiary,Very much like me,Like me,Like me,Somewhat like me,Like me
DE,Equal natural and human,9,Very worried,Male,56,Upper upper sec,Not like me,Like me,Like me,Very much like me,Like me
DE,Equal natural and human,9,Very worried,Female,26,Lower tertiary,Not like me,Very much like me,Like me,Somewhat like me,Very much like me
DE,Entirely human,8,Very worried,Male,59,Lower tertiary,A little like me,Like me,Like me,Very much like me,Very much like me
DE,Mainly natural,5,Somewhat worried,Female,27,Lower tertiary,Somewhat like me,Very much like me,Somewhat like me,Somewhat like me,Like me
DE,Equal natural and human,6,Somewhat worried,Male,25,Higher tertiary,Not like me,Somewhat like me,Like me,Somewhat like me,Like me
DE,Equal natural and human,5,Not very worried,Male,80,Lower tertiary,Not like me,Like me,Like me,Somewhat like me,Somewhat like me
DE,Mainly human,8,Extremely worried,Female,46,Lower tertiary,Not at all like me,Like me,Like me,Somewhat like me,Like me
DE,Equal natural and human,7,Very worried,Female,80,Lower tertiary,Not like me,Somewhat like me,Very much like me,A little like me,Like me
DE,Equal natural and human,5,Very worried,Female,72,Upper upper sec,Not like me,Somewhat like me,Like me,Somewhat like me,Somewhat like me
DE,Equal natural and human,2,Somewhat worried,Male,18,Lower upper sec,Not like me,Very much like me,A little like me,Like me,Not like me
DE,Mainly human,7,Very worried,Female,65,Upper upper sec,A little like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Equal natural and human,8,Somewhat worried,Male,64,Lower tertiary,Not at all like me,Like me,Like me,Like me,Like me
DE,Equal natural and human,5,Somewhat worried,Male,84,Upper upper sec,A little like me,Somewhat like me,Somewhat like me,A little like me,Very much like me
DE,Mainly natural,Not at all,Not worried,Female,56,Lower tertiary,Not at all like me,Not at all like me,Like me,Like me,Like me
DE,Equal natural and human,7,Very worried,Male,46,Upper upper sec,Like me,Like me,A little like me,Very much like me,Not at all like me
DE,Mainly human,7,Somewhat worried,Female,40,Lower tertiary,Not like me,Like me,A little like me,A little like me,Like me
DE,Mainly natural,A lot,Very worried,Female,54,Lower tertiary,Not like me,Very much like me,Like me,Somewhat like me,Like me
DE,Entirely human,7,Very worried,Male,18,Advanced voc,Somewhat like me,Like me,Somewhat like me,A little like me,Like me
DE,Natural processes,1,Not worried,Male,81,Lower tertiary,Not like me,Like me,Like me,Not like me,Somewhat like me
DE,Mainly human,6,Somewhat worried,Female,41,Other,Not like me,Like me,A little like me,Somewhat like me,Somewhat like me
DE,Equal natural and human,8,Very worried,Male,58,Lower tertiary,Not at all like me,Like me,Very much like me,Somewhat like me,Like me
DE,Equal natural and human,Not at all,Very worried,Male,45,Lower upper sec,Not like me,Very much like me,Very much like me,Somewhat like me,Somewhat like me
DE,Equal natural and human,8,Very worried,Male,41,Other,Not like me,Like me,Like me,Not like me,Like me
DE,Equal natural and human,6,Somewhat worried,Female,17,Lower upper sec,A little like me,Somewhat like me,Somewhat like me,Somewhat like me,Like me
DE,Mainly human,7,Extremely worried,Female,25,Higher tertiary,Somewhat like me,Very much like me,A little like me,Like me,Very much like me
DE,Mainly human,7,Somewhat worried,Male,29,Other,A little like me,Very much like me,Somewhat like me,Like me,Like me
DE,Equal natural and human,9,Very worried,Male,82,Other,Not like me,Like me,Not at all like me,Very much like me,Very much like me
DE,Equal natural and human,6,Very worried,Female,38,Upper upper sec,Not at all like me,Like me,Like me,Somewhat like me,Like me
DE,Entirely human,A lot,Very worried,Female,51,Lower upper sec,Not like me,Very much like me,Like me,Not at all like me,Very much like me
DE,Mainly human,7,Extremely worried,Male,29,Higher tertiary,Not like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me
DE,Equal natural and human,8,Somewhat worried,Female,65,Advanced voc,Not like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Mainly human,7,Somewhat worried,Male,55,Upper upper sec,Somewhat like me,Like me,Like me,A little like me,Like me
DE,Mainly natural,7,Not very worried,Female,45,Other,A little like me,Very much like me,Somewhat like me,A little like me,Like me
DE,Mainly natural,Not at all,Not very worried,Male,87,Upper upper sec,Not like me,Like me,Very much like me,Very much like me,Very much like me
DE,Mainly human,6,Very worried,Male,42,Lower tertiary,Not like me,Very much like me,A little like me,Somewhat like me,Like me
DE,Equal natural and human,8,Very worried,Male,34,Upper upper sec,A little like me,Like me,Like me,A little like me,Like me
DE,Mainly human,8,Very worried,Female,71,Upper upper sec,Not at all like me,Like me,Not like me,A little like me,Like me
DE,Mainly human,5,Not very worried,Male,19,Advanced voc,Not like me,Very much like me,Very much like me,A little like me,Not like me
DE,Mainly human,6,Not very worried,Male,69,Lower tertiary,Not like me,NA,Not like me,A little like me,Very much like me
DE,Equal natural and human,6,Very worried,Male,42,Lower upper sec,A little like me,Like me,Like me,Like me,Like me
DE,Equal natural and human,5,Somewhat worried,Male,58,Lower tertiary,Somewhat like me,Like me,Somewhat like me,Like me,Like me
DE,Mainly human,8,Extremely worried,Female,40,Other,Not like me,Somewhat like me,Somewhat like me,A little like me,Somewhat like me
DE,Equal natural and human,1,Not worried,Male,21,Lower tertiary,Somewhat like me,A little like me,Somewhat like me,Somewhat like me,Like me
DE,Equal natural and human,5,Not worried,Female,35,Lower upper sec,Not like me,Like me,Like me,Not at all like me,Like me
DE,Mainly human,7,Very worried,Female,52,Upper upper sec,Not at all like me,Somewhat like me,Somewhat like me,Very much like me,Like me
DE,Mainly human,9,Very worried,Male,33,Other,Not like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
DE,Equal natural and human,7,Somewhat worried,Female,48,Lower tertiary,Not at all like me,Very much like me,Very much like me,Not at all like me,Like me
DE,Equal natural and human,9,Very worried,Female,62,Lower tertiary,A little like me,Very much like me,A little like me,Somewhat like me,Like me
DE,Equal natural and human,NA,Very worried,Male,88,Lower tertiary,Not like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Mainly human,A lot,Extremely worried,Female,49,Upper upper sec,Not like me,Like me,A little like me,A little like me,Very much like me
DE,Mainly human,5,Somewhat worried,Male,76,Lower tertiary,Not at all like me,A little like me,Very much like me,A little like me,Like me
DE,Equal natural and human,A lot,Very worried,Female,42,Upper upper sec,A little like me,Not like me,Very much like me,Very much like me,Very much like me
DE,Equal natural and human,6,Very worried,Male,68,Upper upper sec,A little like me,Very much like me,Somewhat like me,Like me,Very much like me
DE,Mainly human,7,Very worried,Female,62,Lower tertiary,Not like me,Like me,Like me,Somewhat like me,Like me
DE,Equal natural and human,5,Very worried,Male,54,Lower tertiary,Not at all like me,Like me,NA,Not at all like me,Like me
DE,Mainly human,7,Somewhat worried,Female,32,Lower tertiary,A little like me,Like me,A little like me,A little like me,Very much like me
DE,Mainly human,5,Very worried,Female,68,Upper upper sec,A little like me,Like me,Somewhat like me,Like me,Very much like me
DE,Mainly natural,2,Not worried,Male,32,Lower upper sec,Somewhat like me,Like me,Like me,Somewhat like me,A little like me
DE,Mainly human,7,Extremely worried,Male,39,Lower upper sec,Not at all like me,Very much like me,Somewhat like me,Somewhat like me,Like me
DE,Mainly human,9,Very worried,Female,71,Other,Not like me,Very much like me,Like me,Not like me,Very much like me
DE,Mainly human,9,Very worried,Female,53,Other,A little like me,Somewhat like me,Not like me,Not like me,Like me
DE,Equal natural and human,8,Extremely worried,Female,76,Other,Not at all like me,Like me,Like me,Somewhat like me,Very much like me
DE,Equal natural and human,7,Very worried,Male,70,Lower secondary,NA,NA,NA,NA,NA
DE,Equal natural and human,7,Very worried,Male,37,Other,Somewhat like me,Very much like me,Like me,Somewhat like me,Like me
DE,Mainly human,A lot,Very worried,Male,36,Lower tertiary,A little like me,Very much like me,Like me,Like me,Like me
DE,Equal natural and human,5,Somewhat worried,Female,67,Upper upper sec,Not at all like me,NA,Somewhat like me,Not like me,Like me
DE,Equal natural and human,6,Very worried,Male,90,Other,Not like me,Somewhat like me,A little like me,Like me,Like me
DE,Mainly natural,5,Somewhat worried,Male,44,Lower tertiary,Not like me,Somewhat like me,Like me,Not like me,Somewhat like me
DE,Mainly human,3,Somewhat worried,Male,17,Lower upper sec,Not like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me
DE,Mainly human,8,Extremely worried,Female,53,Other,Not like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Mainly human,9,Very worried,Female,62,Higher tertiary,Not at all like me,Like me,Very much like me,A little like me,Like me
DE,Mainly human,7,Very worried,Male,59,Upper upper sec,Not like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Mainly human,9,Very worried,Female,25,Advanced voc,A little like me,Very much like me,A little like me,Not like me,Very much like me
DE,Equal natural and human,9,Somewhat worried,Male,57,Lower tertiary,Not like me,Like me,Like me,A little like me,Very much like me
DE,Mainly human,5,Extremely worried,Female,47,Lower upper sec,Somewhat like me,Like me,Not like me,Like me,Like me
DE,Mainly natural,6,Somewhat worried,Male,74,Upper upper sec,Not at all like me,Like me,Like me,Like me,Somewhat like me
DE,Mainly natural,4,Somewhat worried,Female,67,Upper upper sec,Not at all like me,Somewhat like me,Somewhat like me,A little like me,Like me
DE,Equal natural and human,5,Somewhat worried,Female,37,Upper upper sec,A little like me,Very much like me,Somewhat like me,Very much like me,Somewhat like me
DE,Mainly human,3,Very worried,Female,67,Upper upper sec,Not at all like me,Very much like me,Very much like me,Not like me,Very much like me
DE,Equal natural and human,1,Very worried,Male,38,Upper upper sec,Like me,A little like me,Not like me,Like me,Somewhat like me
DE,Mainly human,3,Somewhat worried,Female,40,Upper upper sec,Not like me,Like me,Like me,Not like me,Not like me
DE,Equal natural and human,7,Somewhat worried,Female,20,Lower upper sec,A little like me,Like me,Like me,A little like me,Somewhat like me
DE,Mainly natural,Not at all,Not worried,Male,47,Upper upper sec,Not at all like me,Very much like me,Very much like me,A little like me,Very much like me
DE,Mainly human,9,Extremely worried,Female,52,Other,Not like me,Like me,Not like me,Not like me,Very much like me
DE,Mainly natural,7,Somewhat worried,Male,57,Upper upper sec,Not at all like me,Like me,Somewhat like me,Like me,Somewhat like me
DE,Mainly human,4,Very worried,Male,47,Upper upper sec,A little like me,Like me,Like me,Like me,Like me
DE,Mainly human,Not at all,Extremely worried,Male,67,Upper upper sec,A little like me,Somewhat like me,Somewhat like me,Like me,Like me
DE,Mainly human,3,Very worried,Female,73,Upper upper sec,Not like me,Somewhat like me,Like me,Not like me,Somewhat like me
DE,Mainly human,8,Very worried,Female,47,Upper upper sec,Not at all like me,Very much like me,Very much like me,A little like me,Very much like me
DE,Mainly human,2,Very worried,Male,22,Lower tertiary,Somewhat like me,Very much like me,Not like me,Somewhat like me,Like me
DE,Mainly human,8,Very worried,Female,70,Lower tertiary,Not like me,Very much like me,Somewhat like me,Like me,Very much like me
DE,Equal natural and human,8,Extremely worried,Female,70,Upper upper sec,Somewhat like me,Like me,A little like me,Somewhat like me,Like me
DE,Equal natural and human,8,Very worried,Male,69,Upper upper sec,Not like me,Like me,Like me,Like me,Like me
DE,Mainly human,5,Very worried,Female,38,Other,Not like me,Like me,Like me,Somewhat like me,Like me
DE,Mainly human,6,Somewhat worried,Male,31,Lower tertiary,A little like me,Like me,Somewhat like me,Like me,Somewhat like me
DE,Equal natural and human,4,Somewhat worried,Female,74,Higher tertiary,A little like me,Like me,Like me,Like me,Somewhat like me
DE,Mainly human,A lot,Extremely worried,Female,45,Other,Not like me,Somewhat like me,Somewhat like me,A little like me,Very much like me
DE,Mainly human,5,Very worried,Male,65,Upper upper sec,Not like me,Somewhat like me,Like me,A little like me,Somewhat like me
DE,Equal natural and human,8,Not very worried,Female,60,Other,Not like me,Very much like me,Somewhat like me,A little like me,Very much like me
DE,Mainly human,8,Somewhat worried,Female,30,Lower tertiary,A little like me,Very much like me,Like me,Somewhat like me,Like me
DE,Mainly natural,5,Not worried,Male,60,Upper upper sec,A little like me,Like me,A little like me,Very much like me,Like me
DE,Mainly human,5,Somewhat worried,Female,66,Upper upper sec,Not like me,Very much like me,Very much like me,Somewhat like me,Very much like me
DE,Equal natural and human,5,Somewhat worried,Female,67,Other,Not like me,Somewhat like me,A little like me,Not like me,Not like me
DE,Mainly human,6,Not very worried,Male,54,Upper upper sec,Not like me,Somewhat like me,Like me,Somewhat like me,Somewhat like me
DE,Equal natural and human,7,Somewhat worried,Male,25,Lower tertiary,Not at all like me,Very much like me,Very much like me,Somewhat like me,Very much like me
DE,Equal natural and human,6,Somewhat worried,Female,71,Lower tertiary,A little like me,Very much like me,Like me,Not like me,Very much like me
DE,Equal natural and human,6,Very worried,Female,77,Upper upper sec,Not like me,Like me,Very much like me,Very much like me,Very much like me
DE,Mainly human,7,Very worried,Female,53,Upper upper sec,Not like me,Very much like me,Like me,A little like me,Very much like me
DE,Equal natural and human,1,Somewhat worried,Male,78,Lower upper sec,A little like me,A little like me,A little like me,Not like me,Somewhat like me
DE,Equal natural and human,5,Somewhat worried,Male,72,Upper upper sec,A little like me,Like me,Like me,Like me,Like me
DE,Equal natural and human,6,Somewhat worried,Male,82,Upper upper sec,Not like me,Like me,Like me,Like me,Like me
DE,Equal natural and human,8,Very worried,Female,51,Upper upper sec,Not at all like me,Very much like me,Like me,A little like me,Very much like me
DE,Equal natural and human,A lot,Extremely worried,Male,80,Other,Not at all like me,Like me,A little like me,Somewhat like me,Very much like me
DE,Mainly human,6,Very worried,Male,82,Lower tertiary,Not at all like me,Like me,Like me,A little like me,Like me
DE,Mainly human,6,Very worried,Male,48,Lower tertiary,Not like me,Like me,A little like me,Like me,Somewhat like me
DE,Mainly human,7,Not very worried,Male,16,Lower upper sec,Like me,Somewhat like me,Somewhat like me,Very much like me,Somewhat like me
DE,Equal natural and human,5,Not very worried,Male,27,Higher tertiary,A little like me,Like me,Somewhat like me,Like me,Somewhat like me
DE,Equal natural and human,5,Somewhat worried,Female,42,Lower upper sec,Not like me,Like me,Like me,A little like me,A little like me
DE,Natural processes,Not at all,Not very worried,Female,61,Refusal,Not like me,NA,Like me,Not like me,NA
DE,Equal natural and human,A lot,Somewhat worried,Female,69,Lower tertiary,Not like me,Like me,Not like me,Not like me,Like me
DE,Mainly human,7,Very worried,Male,29,Other,Not like me,Like me,Very much like me,Not like me,Like me
DE,Equal natural and human,7,Very worried,Female,85,Lower upper sec,Not at all like me,Very much like me,Somewhat like me,Not like me,Like me
DE,Mainly human,A lot,Very worried,Female,72,Upper upper sec,Not like me,Like me,Like me,Somewhat like me,Like me
DE,Mainly human,7,Very worried,Female,24,Lower tertiary,Not like me,Like me,Like me,Somewhat like me,Very much like me
DE,Equal natural and human,8,Somewhat worried,Female,58,Upper upper sec,Not like me,Like me,A little like me,A little like me,Like me
DE,Mainly human,6,Very worried,Male,50,Higher tertiary,Not like me,Like me,Very much like me,Not like me,Like me
DE,Mainly human,5,Somewhat worried,Female,83,Upper upper sec,Not at all like me,Like me,Somewhat like me,A little like me,Very much like me
DE,Mainly natural,7,Very worried,Male,33,Other,A little like me,Like me,Like me,Not like me,Somewhat like me
DE,Equal natural and human,7,Somewhat worried,Male,47,Lower tertiary,Not like me,Somewhat like me,Very much like me,A little like me,Like me
DE,Entirely human,3,Somewhat worried,Male,52,Upper upper sec,Like me,A little like me,Like me,Like me,A little like me
DE,Equal natural and human,7,Very worried,Female,85,Lower tertiary,Not like me,Somewhat like me,Not like me,A little like me,Like me
DE,Mainly human,2,Very worried,Male,36,Upper upper sec,Somewhat like me,Like me,Somewhat like me,Somewhat like me,Like me
DE,Entirely human,A lot,Extremely worried,Female,51,Higher tertiary,Not at all like me,Very much like me,Very much like me,Not like me,Very much like me
DE,Equal natural and human,Not at all,Not worried,Male,46,Upper upper sec,Not like me,Very much like me,Somewhat like me,A little like me,Not like me
